Component,Quantity Per PCB,References,Value,Footprint,MFN,MPN,D1N,D1PN
1,10,C8 C12 C13 C14 C15 C16 C18 C23 C24 C27,100n,C_0402_1005Metric,Samsung,CL05B104KO5NNNC,Digikey,1276-1001-1-ND
2,1,C2,100n,C_0603_1608Metric,TDK,CGA3E2X7R1H104K080AA,Digikey,445-5666-1-ND
3,2,C9 C17,100u,C_Radial_D6.3mm_H11.0mm_P2.50mm,DNP,DNP,DNP,DNP
4,3,C4 C5 C10,10u,C_1210_3225Metric,Samsung,CL32B106KBJNNWE,Digikey,1276-3388-1-ND
5,3,C20 C25 C31,10u,C_0402_1005Metric,Samsung,CL05A106MP5NUNC,Digikey,1276-1450-1-ND
6,2,C6 C7,15p,C_0402_1005Metric,Murata,GJM1555C1H150GB01D,Digikey,490-8080-1-ND
7,1,C1,1u,C_0603_1608Metric,Samsung,CL10B105MO8NNWC,Digikey,1276-6524-1-ND
8,3,C19 C21 C22,1u,C_0402_1005Metric,Samsung,CL05A105KP5NNNC,Digikey,1276-1076-1-ND
9,1,C11,47u,C_1210_3225Metric,Samsung,CL32A476MPJNNNE,Digikey,1276-3380-1-ND
10,4,C28 C29 C30 C32,4u7,C_0805_2012Metric,Samsung,CL21A475KBQNNNE,Digikey,1276-1248-1-ND
11,1,C3,4u7,C_0603_1608Metric,Samsung,CL10A475KA8NQNC,Digikey,1276-1900-1-ND
12,1,D1,status,LED_0402_1005Metric,Wurth,150040VS73240,Digikey,732-11992-1-ND
13,1,J3,ARM SWD,PinHeader_2x05_P1.27mm_Vertical,DNP,DNP,DNP,DNP
14,1,J4,BLDC,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,DNP,DNP,DNP,DNP
15,1,J5,BONUS,PinHeader_1x08_P1.27mm_Vertical,DNP,DNP,DNP,DNP
16,1,J6,EXTRA_BONUS,PinHeader_1x01_P1.27mm_Vertical,DNP,DNP,DNP,DNP
17,2,J1 J2,upstream,Molex_Nano-Fit_105314-xx04_2x02_P2.50mm_Horizontal,DNP,DNP,DNP,DNP
18,1,LOGO1,Logo_Open_Hardware_Small,OSHW-Logo_7.5x8mm_SilkScreen,DNP,DNP,DNP,DNP
19,1,R11,100k,R_0402_1005Metric,Panasonic,ERJ-2GEJ104X,Digikey,P100KJCT-ND
20,1,R5,330,R_0402_1005Metric,Panasonic,ERJ-2GEJ331X,Digikey,P330JCT-ND
21,9,R1 R2 R3 R4 R6 R7 R8 R9 R12,4k7,R_0402_1005Metric,Panasonic,ERJ-2RKF4701X,Digikey,P4.70KLCT-ND
22,1,R10,ferrite,R_0402_1005Metric,Murata,BLM15AG601SN1D,Digikey,490-1006-1-ND
23,1,U2,AS5047U,TSSOP-14_4.4x5mm_P0.65mm,AMS,AS5047U-HTSM,Mouser,985-AS5047U-HTSM
24,1,U3,IIS328DQ,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,ST,497-15701-1-ND,Digikey,497-15701-1-ND
25,1,U5,LMZM23601V3,Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias,TI,LMZM23601V3SILT,Digikey,296-49461-1-ND
26,1,U4,MP6540,MP6540,MPS,MP6540AGU,Mouser,946-MP6540AGU-P
27,1,U6,THVD2450,VSSOP-8_3.0x3.0mm_P0.65mm,TI,THVD2450DGKR,Digikey,296-THVD2450DGKRCT-ND
28,1,U1,stm32g474ceu6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,ST,STM32G474CEU6,Digikey,497-STM32G474CEU6-ND
29,1,X1,8 MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,Abracon,ABM3-8.000MHZ-D2Y-T,Digikey,535-10630-1-ND





Component Groups:,29
Component Count:,58
Fitted Components:,58
Number of PCBs:,1
Total components:,58
Schematic Version:,A
Schematic Date:,2020-04-25
PCB Variant:,['default']
BoM Date:,Sun May  3 23:17:22 2020
Schematic Source:,/home/mquigley/hw/betz_experimental/hardware/betz_mini/betz_mini.sch
KiCad Version:,Eeschema 5.99.0-unknown-7e1294a~101~ubuntu18.04.1
